date,cases_new,cases_import,cases_recovered,cases_active,cases_cluster,cases_pvax,cases_fvax,cases_child,cases_adolescent,cases_adult,cases_elderly,cluster_import,cluster_religious,cluster_community,cluster_highRisk,cluster_education,cluster_detentionCentre,cluster_workplace,cumul_partial,cumul_full
23/6/2021,5244,7,6372,60344,1704,332,101,659,305,3648,434,0,24,316,32,33,46,805,4846930,1820650
24/6/2021,5841,8,5411,60694,1881,377,114,769,389,3989,511,0,11,372,43,5,79,1059,5028881,1915015
25/6/2021,5812,32,6775,59653,2146,320,130,593,322,4108,416,0,0,386,33,17,84,1318,5182446,1983028
26/6/2021,5803,10,5193,60176,2060,395,114,587,332,4277,447,0,13,225,16,21,203,1133,5322809,2039185
27/6/2021,5586,3,4777,60913,2131,414,131,585,325,4158,412,0,2,240,58,4,202,1325,5434035,2105049
28/6/2021,5218,7,4744,61296,1770,341,112,668,355,3734,375,0,1,278,12,18,111,1074,5599294,2148391
29/6/2021,6437,14,5298,62344,2351,424,161,761,370,4176,512,0,2,444,32,5,86,1332,5757259,2233419
30/6/2021,6276,16,4929,63582,1685,504,169,800,381,4389,496,0,8,259,62,9,104,877,5930290,2329920
1/7/2021,6988,5,5580,64892,2268,641,175,832,377,4833,492,0,0,305,41,23,209,1341,6113396,2416180
2/7/2021,6982,3,6278,65489,2198,587,202,758,423,5069,515,0,10,339,99,2,13,1358,6283069,2486508
3/7/2021,6658,11,5677,66354,1917,591,183,818,411,4549,472,0,0,244,13,3,187,1152,6427554,2565055
4/7/2021,6045,20,5271,67015,1799,585,157,852,379,4202,451,0,7,297,73,10,34,1121,6562330,2645155
5/7/2021,6387,26,4532,68771,1947,623,210,759,351,4680,425,0,0,350,55,0,40,1182,6768431,2765125
6/7/2021,7654,11,4797,71517,2463,734,210,960,402,4974,501,0,0,288,42,45,46,1746,6984598,2902567
7/7/2021,7097,26,4863,73596,2106,728,209,836,475,5018,457,0,1,370,82,92,166,927,7202856,3077578
8/7/2021,8868,10,5802,76504,2704,1027,296,896,500,6520,662,0,6,474,75,23,25,1645,7432020,3236469
9/7/2021,9180,7,5713,79789,2343,1015,290,1113,516,6462,612,0,2,339,41,5,169,1462,7652013,3364454
10/7/2021,9353,11,5910,83083,3016,1102,335,940,488,6442,629,0,12,359,73,13,80,2135,7871237,3479029
11/7/2021,9105,18,5194,86810,2199,1208,336,1169,554,6482,640,0,4,496,54,1,15,1271,8065228,3581935
12/7/2021,8574,40,5041,90167,1843,1093,322,1186,581,5970,633,0,3,356,52,7,138,931,8335831,3743407
13/7/2021,11079,27,5990,95063,2700,1466,458,1542,719,7592,738,0,6,587,41,0,214,1375,8602565,3913140
14/7/2021,11618,26,6377,100127,2304,1765,517,1947,613,7931,806,0,0,430,189,3,97,1070,8895956,4074699
15/7/2021,13215,13,6095,107038,2828,1878,507,1800,882,9272,762,0,1,654,67,54,195,1207,9211191,4234386
16/7/2021,12541,16,6742,112625,2785,1861,537,1514,732,9010,770,0,2,468,99,36,179,1518,9492891,4367312
17/7/2021,12528,19,6629,118262,3206,1916,477,1615,806,8691,789,0,0,425,100,41,268,1772,9754815,4497415
18/7/2021,10710,12,5778,122959,2164,1626,451,1402,649,7611,668,0,0,375,69,34,358,1015,10006116,4600445
19/7/2021,10972,48,6439,127271,2480,1848,485,1467,697,7971,690,4,0,416,55,22,247,1358,10292140,4753754
20/7/2021,12366,8,7567,131795,2650,2172,539,1619,840,8788,821,0,0,369,128,20,369,1062,10499486,4856243
21/7/2021,11985,7,7902,135608,2149,2243,581,1868,897,8020,880,0,19,463,107,89,77,952,10787279,5025130
22/7/2021,13034,25,8436,139942,2589,2645,732,1824,886,9122,846,0,2,611,72,52,191,1163,11129077,5200982
23/7/2021,15573,32,10094,145132,2214,3337,784,2098,1102,10897,1082,0,19,474,142,17,101,864,11442618,5364948
24/7/2021,15902,26,9471,151265,2922,3448,778,2063,976,11374,1208,8,3,515,89,36,123,1298,11735362,5502197
25/7/2021,17045,6,9683,158324,3134,3615,903,2132,1056,12041,1034,0,3,711,87,28,114,1552,12024556,5626922
26/7/2021,14516,3,9371,163201,2902,2763,707,2002,960,9727,871,0,7,559,57,19,29,1504,12365323,5821848
27/7/2021,16117,26,11526,167519,2958,3528,920,2230,1124,11404,1079,0,1,619,90,30,95,1365,12730813,6026733
28/7/2021,17405,6,12373,172231,2951,4150,1101,2473,1185,11987,1195,0,6,621,125,25,74,1580,13104299,6233021
29/7/2021,17170,32,12930,176183,2423,4184,1101,2453,1171,12148,1047,0,2,567,77,19,266,968,13463874,6450722
30/7/2021,16840,17,12179,180517,3075,4155,1114,2337,1174,11633,1068,0,5,822,84,9,61,1569,13793306,6653110
31/7/2021,17786,9,11718,186273,3046,4435,1238,2718,1393,12186,1147,0,49,825,64,8,84,1283,14125023,6859541
1/8/2021,17150,1,11326,191772,3000,4699,1179,2547,1286,11692,1206,0,2,626,140,13,24,1525,14431923,7044284
2/8/2021,15764,6,11767,195395,2625,4309,1127,2281,1136,10749,1035,0,18,559,58,45,106,1256,14664975,7294668
3/8/2021,17105,37,12297,199864,2400,4746,1332,2493,1270,11722,1147,0,20,556,81,20,44,906,14915337,7544133
4/8/2021,19819,23,12704,206673,2953,5571,1545,2831,1393,13734,1313,0,23,748,36,29,74,1169,15153051,7815788
5/8/2021,20596,34,13893,213066,3084,6600,1714,2689,1408,14649,1292,0,12,682,65,41,165,1346,15383428,8115944
6/8/2021,20889,13,16394,217204,2657,6938,1840,2808,1336,14806,1320,0,16,492,64,22,92,1260,15579693,8380156
7/8/2021,19257,16,16323,219806,2771,6365,1718,2589,1380,13305,1388,0,20,579,32,14,97,1080,15775166,8624692
8/8/2021,18688,10,17055,221120,2585,5975,1720,2611,1321,13051,1321,0,88,475,80,12,106,1172,15940319,8863255
9/8/2021,17236,29,15187,222866,2392,5569,1648,2363,1269,11801,1140,0,17,534,14,4,182,933,16135360,9144597
10/8/2021,19991,0,16258,226193,2866,6606,1923,2772,1470,13452,1401,0,32,716,24,29,49,1236,16304424,9344783
11/8/2021,20780,15,17973,228714,2659,6596,2075,2980,1454,14497,1373,0,33,654,69,8,17,1262,16540650,9617769
12/8/2021,21668,58,17687,232401,2544,7001,2425,2946,1512,15088,1509,0,11,621,33,15,81,1120,16748906,9949600
13/8/2021,21468,25,17025,236581,2692,7203,2404,2758,1466,14615,1534,0,15,391,144,43,33,1230,16920633,10258780
14/8/2021,20670,8,17655,239321,2402,6827,2391,2810,1481,14256,1500,0,6,517,83,19,71,1150,17086906,10545979
15/8/2021,20546,14,16945,242633,2600,6812,2490,5766,27,12926,1359,0,9,555,48,28,259,1112,17233428,10824727
16/8/2021,19740,19,17450,244633,3058,6353,2684,3525,978,13195,1329,0,12,615,71,16,52,1571,17413051,11157451
17/8/2021,19631,7,16467,247547,2265,6196,2723,2850,1431,13404,1422,0,13,561,55,2,175,1042,17601807,11504928
18/8/2021,22242,4,19680,249836,2878,7145,3198,3096,1623,15079,1523,0,24,556,61,4,80,1395,17796296,11865530
19/8/2021,22948,9,21720,250808,2343,7145,3309,3062,1685,16041,1624,0,27,481,44,10,136,1131,17979485,12213637
20/8/2021,23564,23,21448,252692,3031,7193,4224,3469,1840,15921,1643,0,6,764,31,33,38,1588,18136084,12549859
21/8/2021,22262,40,18576,256132,2331,6882,3911,3184,1701,14914,1687,0,21,601,61,12,183,1104,18297538,12869104
22/8/2021,19807,5,18200,257437,2177,5870,3414,3026,1581,13223,1449,0,7,416,36,4,97,1033,18437090,13178941
23/8/2021,17672,8,19053,255785,2010,5187,3377,2634,1374,11752,1476,0,6,588,93,5,73,904,18589208,13429906
24/8/2021,20837,22,18613,257824,2514,6260,3926,3081,1592,13920,1523,0,10,457,29,2,76,1480,18746418,13701848
25/8/2021,22642,5,20798,259434,2499,6893,4504,3263,1762,14990,1767,0,11,424,68,3,186,1384,18910277,13969818
26/8/2021,24599,8,22657,261107,3394,7278,4872,3480,1723,16440,1838,0,24,542,93,35,73,1944,19070787,14229270
27/8/2021,22070,15,21877,261065,2126,6442,5028,3070,1718,14957,1658,0,2,474,17,3,150,1022,19215042,14436766
